Provider Code,Provider Name,Cancer.Alliance.Code,Cancer.Alliance,Independent provider,Source
AQK,VERNOVA HEALTHCARE COMMUNITY INTEREST COMPANY,E56000005,Cheshire and Merseyside Cancer Alliance,1,"Located fully in Cheshire, and thus Cheshire & Merseyside Cancer Alliance (https://www.vernovahealthcare.org/)"
GEC,RAPID INVESTIGATION SERVICE,E56000016,Wessex Cancer Alliance,0,Wessex Cancer Alliance service (https://wessexcanceralliance.nhs.uk/ris-rapid-investigation-service/)
NQT,HCRG CARE LTD,multiple,multiple,1,"Fix - Exclude; Independent provider, located across England in multiple cancer alliances. https://www.hcrgcaregroup.com/"
NVC,RAMSAY HEALTHCARE UK OPERATIONS LIMITED,multiple,multiple,1,"Hospitals located across England and Wales. https://www.ramsayhealth.co.uk/hospitals ; ""Ramsay Health Care UK is one of the leading independent healthcare providers in England."" https://www.ramsayhealth.co.uk/"
NYG,SUSSEX COMMUNITY DERMATOLOGY SERVICE,E56000012,Surrey and Sussex Cancer Alliance,0,"""Sussex Community Dermatology Service has been treating patients in Coastal West Sussex for several years"" https://sussexcds.co.uk/services/sussexdermatology/"
RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,E56000015,"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,In SWAG Cancer Alliance (https://www.swagcanceralliance.nhs.uk/high-quality-modern-services/)
RGD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,multiple,multiple,0,"In both Leeds ICS, West Yorkshire ICB, and North Yorkshire ICBs (https://www.leedsandyorkpft.nhs.uk/about-us/our-partnerships/) None are part of MCED Cancer Alliances, but part of two CAs: Humber and North Yorkshire CA and West Yorkshire CA"
RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,E56000027,North Central London Cancer Alliance,0,North Central London Cancer Alliance (https://www.nclcanceralliance.nhs.uk/north-central-london-cancer-alliance-map/)
RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,E56000021,West London Cancer Alliance,0,"(""RM Partners, the west London Cancer Alliance, is leading on the delivery of the recommendations in NHS England’s National Cancer Strategy"" https://www.royalmarsden.nhs.uk/about-royal-marsden/who-we-are/rm-partners-west-london-cancer-alliance)"
RT2,PENNINE CARE NHS FOUNDATION TRUST,E56000019,Greater Manchester Cancer Alliance,0,Located in Greater Manchester CA area https://www.penninecare.nhs.uk/
NMV,PARTNERSHIPS IN CARE LTD,multiple,multiple,1,"""Partnerships in Care is one of the largest and most experienced providers of specialist, secure and step-down care across the UK.

With hospitals around the country, 30 years of experience and highly experienced teams, we help patients and commissioners find the right care pathways, without the need for multiple reassessments."" https://www.linkedin.com/company/partnerships-in-care/?originalSubdomain=uk"
NQ7,MEDWAY COMMUNITY HEALTHCARE,E56000011,Kent and Medway Cancer Alliance,0,All locations listed are located in Kent and Medway CA area: https://www.medwaycommunityhealthcare.nhs.uk/contact-us/find-us/
RPG,OXLEAS NHS FOUNDATION TRUST,multiple,multiple,0,"This provider works in the Kent and Medway CA area and in the South East London CA area ""We work out of more than 100 sites across Kent and South East London – here are our main ones:"" https://oxleas.nhs.uk/our-sites"
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,E56000012,Surrey and Sussex Cancer Alliance,0,Locations are located in the Surrey and Sussex CA area https://www.sussexpartnership.nhs.uk/our-services/hospitals-locations
RXY,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,E56000011,Kent and Medway Cancer Alliance,0,Located in the Kent and Medway CA
S3H9L,THE HAMPTONS HOSPITAL,E56000022,East of England - North Cancer Alliance,1,"Located in Peterborough, in the NHS Cambridgeshire and Peterborough ICB and the East of England - North CA area https://thehamptonshospital.com/contact-/#getting-here"
